state,STATE_AQI,cities,HEALTH_RISK_TIER
Andhra Pradesh,81.0,1,Satisfactory
Assam,30.0,1,Good
Bihar,45.0,1,Good
Chandigarh,165.0,1,Moderate
Delhi,102.0,1,Moderate
Gujarat,97.0,2,Satisfactory
Haryana,171.0,1,Moderate
Himachal Pradesh,165.0,1,Moderate
Jharkhand,45.0,1,Good
Karnataka,176.0,1,Moderate
Kerala,58.0,1,Satisfactory
Madhya Pradesh,176.0,2,Moderate
Maharashtra,120.0,3,Moderate
Odisha,45.0,1,Good
Rajasthan,97.0,1,Satisfactory
Tamil Nadu,177.0,3,Moderate
Telangana,120.0,1,Moderate
Uttar Pradesh,198.0,5,Moderate
Uttarakhand,162.0,1,Moderate
West Bengal,45.0,1,Good
